Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
7300-7399 IRVINGTON,H,3B50,3,North Division,Robbery,"Road, Street, or Sidewalk",NORTHSIDE/NORTHLINE,45,1477191600000.0,2016-10-22 22:00:00,Saturday,October,22:00:00,29.8264597,-95.3611858,"228,390"
500-599 OXFORD,C,2A30,2,Central Division,Theft,Grocery Store or Supermar,GREATER HEIGHTS,15,1475521200000.0,2016-10-03 14:00:00,Monday,October,14:00:00,29.779713800000003,-95.3917886,"173,195"
200-299 N LOOP W,H,3B30,3,North Division,Auto Theft,"Road, Street, or Sidewalk",CENTRAL NORTHWEST,12,1476946800000.0,2016-10-20 02:00:00,Thursday,October,02:00:00,29.8126897,-95.3975653,"228,390"
2000-2099 SABINE,H,2A40,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1475568000000.0,2016-10-04 03:00:00,Tuesday,October,03:00:00,29.7752217,-95.3759005,"173,195"
1600-1699 RUIZ,H,1A10,1,Special Operations Division,Robbery,"Road, Street, or Sidewalk",DOWNTOWN,61,1476661500000.0,2016-10-16 18:45:00,Sunday,October,18:45:00,29.761017600000002,-95.3537296,"173,195"
4100-4199 WIPPRECHT,B,7C20,7,Northeast Division,Burglary,Residence or House,KASHMERE GARDENS,52,1476608400000.0,2016-10-16 04:00:00,Sunday,October,04:00:00,29.797930400000002,-95.32227879999999,"250,444"
1100-1199 BAYLAND,H,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1476640800000.0,2016-10-16 13:00:00,Sunday,October,13:00:00,29.7866283,-95.3861993,"173,195"
1000-1099 QUITMAN,H,2A10,2,Central Division,Theft,Grocery Store or Supermar,NEAR NORTHSIDE,51,1476197100000.0,2016-10-11 09:45:00,Tuesday,October,09:45:00,29.781900699999998,-95.36074520000001,"173,195"
7200-7299 DANE,H,7C30,7,Northeast Division,Burglary,Residence or House,EASTEX - JENSEN AREA,46,1476664200000.0,2016-10-16 19:30:00,Sunday,October,19:30:00,29.8245989,-95.3366683,"250,444"
2100-2199 YALE,C,2A30,2,Central Division,Theft,Apartment Parking Lot,GREATER HEIGHTS,15,1476625800000.0,2016-10-16 08:50:00,Sunday,October,08:50:00,29.805117,-95.39902540000001,"173,195"
900-999 WASHINGTON,H,2A40,2,Central Division,Theft,Office Building,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1476172800000.0,2016-10-11 03:00:00,Tuesday,October,03:00:00,29.7664928,-95.3678833,"173,195"
5300-5399 IRVINGTON,H,2A20,2,Central Division,Theft,Residence or House,NEAR NORTHSIDE,51,1475951100000.0,2016-10-08 13:25:00,Saturday,October,13:25:00,29.8079493,-95.36104549999999,"173,195"
7800-7899 W HARDY,H,3B50,3,North Division,Burglary,Residence or House,NORTHSIDE/NORTHLINE,45,1475746200000.0,2016-10-06 04:30:00,Thursday,October,04:30:00,29.8324298,-95.3557095,"228,390"
3100-3199 E CROSSTIMBERS,H,7C30,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",EASTEX - JENSEN AREA,46,1474954800000.0,2016-09-27 00:40:00,Tuesday,September,00:40:00,29.829122499999997,-95.3385888,"250,444"
1800-1899 N SHEPHERD,C,2A30,2,Central Division,Theft,Restaurant or Cafeteria P,GREATER HEIGHTS,15,1475148900000.0,2016-09-29 06:35:00,Thursday,September,06:35:00,29.8133498,-95.4103185,"173,195"
